gene_combination_unordered,Array_category,Mouse_genotype,Fitness,Fitness_bootstrap_median,Fitness_bootstrap_mean,Fitness_97.5P,Fitness_2.5P,Fitness_pvalue_twoside,Fitness_pvalue_twoside_FDR
Mga_Rb1_Tet2,Triple_TSG,KTCas12a,1.3023610142183666,1.2838175784685055,1.302536065273914,1.7328400935793191,0.8982836563947926,0.0,0.0
Mga_Rb1_Trp53,Triple_TSG,KTCas12a,2.33114189703206,2.3127713700185586,2.3401941069663263,2.7797728065184573,1.8870752109459388,0.0,0.0
Mga_Rb1_Tsc2,Triple_TSG,KTCas12a,3.1927473316579156,3.1791785447793157,3.2072365709864936,3.719037969806249,2.6596277975997515,0.0,0.0
Mga_Rbm10_Safe,Double_TSG,KTCas12a,0.36018748392881295,0.3526875614166089,0.3553101042826677,0.5726173346270715,0.16050144473491915,0.0,0.0
Mga_Rbm10_Tet2,Triple_TSG,KTCas12a,0.5247896956960841,0.5148674628859877,0.5142540387029092,0.7217989294264793,0.27191057910175487,0.0,0.0
Mga_Rbm10_Trp53,Triple_TSG,KTCas12a,0.9008317116670493,0.8958431755223595,0.9021723380642209,1.167874482891369,0.6352722341527773,0.0,0.0
Mga_Rbm10_Tsc2,Triple_TSG,KTCas12a,1.0971265681474933,1.0987545222927944,1.1071046781994212,1.3852274852717505,0.8139612105510314,0.0,0.0
Mga_Safe_Safe,Single_TSG,KTCas12a,0.31354295527767895,0.3047248713884806,0.3156257707028352,0.5417054184829817,0.1064723693113728,0.004,0.0046846846846846845
Mga_Safe_Tet2,Double_TSG,KTCas12a,0.453931992123792,0.4442089334151219,0.4510427392931946,0.6720601422104063,0.2523230468062021,0.0,0.0
Mga_Safe_Trp53,Double_TSG,KTCas12a,0.7689840887603651,0.7754402888974677,0.7812735695391563,0.9556487261106735,0.5964894873409011,0.0,0.0
Mga_Safe_Tsc2,Double_TSG,KTCas12a,0.9796518174199043,0.9707334979565283,0.9794940816503955,1.2571204720173563,0.6746065234286982,0.0,0.0
Mga_Tet2_Trp53,Triple_TSG,KTCas12a,0.8914161795481121,0.8914698146956918,0.9014622906021205,1.1697767790672915,0.6395735568142544,0.0,0.0
Mga_Tet2_Tsc2,Triple_TSG,KTCas12a,0.8290262661405983,0.8239975467781022,0.8279956015518446,1.1066729956986,0.5280771205591627,0.0,0.0
Mga_Trp53_Tsc2,Triple_TSG,KTCas12a,1.449636466934765,1.4382165043778528,1.455625189834011,1.7842725072088004,1.18644328035451,0.0,0.0
