gene_combination_unordered,gene_a,gene_b,gene_c,ko_a_in_wt,ko_a_in_wt_bootstrap_median,ko_a_in_wt_bootstrap_mean,ko_a_in_wt_97.5P,ko_a_in_wt_2.5P,ko_a_in_wt_pvalue_twoside,ko_b_in_wt,ko_b_in_wt_bootstrap_median,ko_b_in_wt_bootstrap_mean,ko_b_in_wt_97.5P,ko_b_in_wt_2.5P,ko_b_in_wt_pvalue_twoside,ko_c_in_wt,ko_c_in_wt_bootstrap_median,ko_c_in_wt_bootstrap_mean,ko_c_in_wt_97.5P,ko_c_in_wt_2.5P,ko_c_in_wt_pvalue_twoside,ko_ab_in_wt,ko_ab_in_wt_bootstrap_median,ko_ab_in_wt_bootstrap_mean,ko_ab_in_wt_97.5P,ko_ab_in_wt_2.5P,ko_ab_in_wt_pvalue_twoside,ko_ac_in_wt,ko_ac_in_wt_bootstrap_median,ko_ac_in_wt_bootstrap_mean,ko_ac_in_wt_97.5P,ko_ac_in_wt_2.5P,ko_ac_in_wt_pvalue_twoside,ko_bc_in_wt,ko_bc_in_wt_bootstrap_median,ko_bc_in_wt_bootstrap_mean,ko_bc_in_wt_97.5P,ko_bc_in_wt_2.5P,ko_bc_in_wt_pvalue_twoside,observed_triple_ko,observed_triple_ko_bootstrap_median,observed_triple_ko_bootstrap_mean,observed_triple_ko_97.5P,observed_triple_ko_2.5P,observed_triple_ko_pvalue_twoside,expected_triple_ko_linear,expected_triple_ko_linear_bootstrap_median,expected_triple_ko_linear_bootstrap_mean,expected_triple_ko_linear_97.5P,expected_triple_ko_linear_2.5P,expected_triple_ko_linear_pvalue_twoside,expected_triple_ko,expected_triple_ko_bootstrap_median,expected_triple_ko_bootstrap_mean,expected_triple_ko_97.5P,expected_triple_ko_2.5P,expected_triple_ko_pvalue_twoside,epistasis,epistasis_bootstrap_median,epistasis_bootstrap_mean,epistasis_97.5P,epistasis_2.5P,epistasis_pvalue_twoside,epistasis_pvalue_twoside_FDR,Mouse_genotype
Arid1a_Lkb1_Tet2,Arid1a,Lkb1,Tet2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.0858320746846506,0.08203142090789811,0.07760126042760775,0.2643288777317527,-0.11606101275499278,0.43999999999999995,0.8867844499891436,0.8716625460923695,0.8710062162225164,1.1668516094957648,0.5631374871764998,0.0,0.8751676293586923,0.8692281055774944,0.8717806118227082,1.1686910882894725,0.6013064122006565,0.0,1.218265916398898,1.1977263372456044,1.1944150413206698,1.6999851909173291,0.678448534014937,0.0,0.6653794739801493,0.6708402486626874,0.6624711920594802,1.215037584046999,0.08556938497586798,0.03600000000000003,0.209788155378543,0.19945821756955728,0.20930941976322795,0.8196567443326223,-0.38549644916670517,0.504,0.9767999999999999,KTCas12a
Arid1a_Lkb1_Trp53,Arid1a,Lkb1,Trp53,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.53462161309332,0.5352910078246409,0.5426459347853784,0.7767358521730579,0.31440105817246994,0.0,1.436462899801749,1.4201989905570804,1.4239103811140523,1.8149078076199172,1.06317391351425,0.0,1.6226907409027285,1.6137261168904742,1.616852640471364,2.0276019993545926,1.2474887307060942,0.0,1.3387257381090156,1.3145589826994346,1.314838599208638,1.8710809479608344,0.7749478843763536,0.0,1.5433876404913065,1.566294138260667,1.5599964734208183,2.2110686768640817,0.9592262440607412,0.0,0.07930310041142197,0.05117684223689467,0.056856167050545255,0.6654355212286461,-0.5943958218451874,0.8520000000000001,0.9782278481012658,KTCas12a
Arid1a_Lkb1_Tsc2,Arid1a,Lkb1,Tsc2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.7418142175896338,0.7456485968907367,0.7439996730878039,1.0149095359791833,0.46832283672664843,0.0,1.3502203515007476,1.342666955036123,1.3550783479540418,1.7165034770374201,1.022132417431497,0.0,1.3567322942978992,1.370416253887302,1.3658876165875466,1.715682683697869,1.0275196567972629,0.0,1.7797384614908824,1.7612409959821018,1.764571791150061,2.2972825019532244,1.2363409749329795,0.0,1.2233249733047518,1.2340066837178845,1.2427849866218104,1.96544534157155,0.5716288320653342,0.0,0.13340732099314745,0.12837063511177416,0.12310262996573644,0.7472593142450701,-0.5372780690357618,0.692,0.9767999999999999,KTCas12a
Arid1a_Mga_Rb1,Arid1a,Mga,Rb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,1.145985570025542,1.131467602182581,1.1376213606847347,1.5769742916542402,0.7188636926174027,0.0,1.2843951793398076,1.2804179991300613,1.2745433803586859,1.6012893355536788,0.9131041381582611,0.0,1.1237064798558265,1.0729249217136736,1.0804871507477978,1.7296840946634857,0.45192668164501315,0.0,1.409145003167935,1.4386114555506286,1.4319846158128389,2.106090805147807,0.6953242821164154,0.0,-0.12474982382812727,-0.16321633641693933,-0.15744123545415312,0.6355530240639073,-0.8772508464763389,0.658,0.9767999999999999,KTCas12a
Arid1a_Mga_Rbm10,Arid1a,Mga,Rbm10,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,0.40491176967474335,0.38890764662763266,0.39487567467695417,0.6575617274292723,0.15594712677566386,0.0020000000000000018,0.36018748392881295,0.35268749688681805,0.3515306997597418,0.5726173292123585,0.1605014294744238,0.0,0.536450618904308,0.5266560098377242,0.5307851357516473,0.7789964986401218,0.2870727295731213,0.0,0.8917322623136044,0.8746586996454193,0.8729455473176974,1.2834492008245084,0.45580940266202596,0.0,0.17032840069554456,0.17059416108257108,0.17284542689674992,0.6465094162408024,-0.3196292681680291,0.518,0.36612221820876345,0.35514810655559964,0.35793970885489734,0.8277054409664372,-0.11062985553102592,0.16799999999999993,0.9767999999999999,KTCas12a
Arid1a_Mga_Tet2,Arid1a,Mga,Tet2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,0.0858320746846506,0.08203142090789811,0.07760126042760775,0.2643288777317527,-0.11606101275499278,0.43999999999999995,0.453931992123792,0.44420890272345354,0.44693022025139123,0.6720601035492386,0.2523230417384055,0.0,0.18700462432352757,0.18356349291646823,0.1854282007394092,0.36961584938624775,0.008103983034324464,0.03600000000000003,0.7161023227300644,0.6925285440945623,0.695065019272147,1.1392563774319684,0.2585408975599974,0.0040000000000000036,0.1206231534839709,0.12038016240777821,0.12885106118460313,0.6061909907124113,-0.3688937779168174,0.5880000000000001,0.06638147083955667,0.062224790364094076,0.056577139554806075,0.5832829751096318,-0.4566996974587195,0.792,0.9767999999999999,KTCas12a
Arid1a_Mga_Trp53,Arid1a,Mga,Trp53,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,0.53462161309332,0.5352910078246409,0.5426459347853784,0.7767358521730579,0.31440105817246994,0.0,0.7689840887603651,0.7754402868046913,0.778399740048702,0.9556486066238276,0.5964894839539941,0.0,0.8156863339351476,0.8071539293470218,0.8126462769884143,1.051320106394608,0.5795338405433452,0.0,0.8365621444401821,0.8177497507010473,0.8154885771601155,1.2970492229421227,0.37699859450351314,0.0,0.7640049668190956,0.8042068686002706,0.8049416974517162,1.438854477499265,0.19672417576624393,0.018000000000000016,0.05168136711605198,0.00291913031060137,0.007704579536697966,0.7234327843976491,-0.6885317974229388,0.994,0.9979999999999999,KTCas12a
Arid1a_Mga_Tsc2,Arid1a,Mga,Tsc2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,0.7418142175896338,0.7456485968907367,0.7439996730878039,1.0149095359791833,0.46832283672664843,0.0,0.9796518174199043,0.9707334455105796,0.9720485648583774,1.257120360438297,0.6746065214672815,0.0,1.0744250011053906,1.072255978374851,1.0755561028599214,1.373628505462587,0.8096816801255072,0.0,1.2775748678220489,1.2679517874916977,1.2652217691015384,1.7161047245059478,0.8558031936936666,0.0,0.7408525765930816,0.7556285719866549,0.7502110686223942,1.3823629719778467,0.14822541599427838,0.016000000000000014,0.33357242451230906,0.32145111562051465,0.32534503423752725,0.9088621946961062,-0.23970193758910488,0.28,0.9767999999999999,KTCas12a
Arid1a_Rb1_Rbm10,Arid1a,Rb1,Rbm10,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,0.40491176967474335,0.38890764662763266,0.39487567467695417,0.6575617274292723,0.15594712677566386,0.0020000000000000018,0.8443879545533668,0.8327796022378322,0.8339584503258199,1.1625881435150314,0.540484145805601,0.0,1.3278973959502618,1.324362744010378,1.3094045110098078,1.6037088134416626,0.931239959824482,0.0,1.0790577753377704,1.0265554780055859,1.0366952702147922,1.7166694038114922,0.3950549950710329,0.0,1.260146452482967,1.2718781265348422,1.2676046608861327,1.8111057575909126,0.6752770457538251,0.0,0.06775094346729471,0.027607642716635628,0.04179985012367483,0.6772660654099941,-0.5526508991005527,0.9159999999999999,0.9782278481012658,KTCas12a
Arid1a_Rb1_Tet2,Arid1a,Rb1,Tet2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,0.0858320746846506,0.08203142090789811,0.07760126042760775,0.2643288777317527,-0.11606101275499278,0.43999999999999995,0.8159623015811642,0.7983055593895703,0.7991356334872847,1.125483124173091,0.4764832037507057,0.0,0.9429243876649582,0.918904307592721,0.9194790311941682,1.300521604703494,0.5364625131464864,0.0,0.9034278357542304,0.8515570548378582,0.858814742169242,1.4408287760490692,0.2720546692185643,0.0,1.0882710441042116,1.0883131060298559,1.0933879578438008,1.677885852775404,0.43679422781959365,0.0,-0.14534665643925337,-0.17844343297174992,-0.17390892664963284,0.5642943570969461,-0.9481762153373474,0.654,0.9767999999999999,KTCas12a
